,pmo_v5
albuterol_similarity,0.1416723484576849
amlodipine_mpo,0.1545155416748553
celecoxib_rediscovery,0.16631617059419124
deco_hop,0.9015439084926005
drd2,0.3579399126907149
fexofenadine_mpo,0.378442028146578
gsk3b,0.12114391269841246
isomers_c7h8n2o2,0.3403506942144148
isomers_c9h10n2o2pf2cl,0.8512952254122932
jnk3,0.11038248809523635
median1,0.22511384394361122
median2,0.08102677551626698
mestranol_similarity,0.24656124402664173
osimertinib_mpo,0.1457590802795939
perindopril_mpo,0.36397045720729215
qed,0.5650457722142823
ranolazine_mpo,0.35007991630644614
scaffold_hop,0.29558695030744603
sitagliptin_mpo,0.08460930338969722
thiothixene_rediscovery,0.4269264258404575
troglitazon_rediscovery,0.393939983209445
valsartan_smarts,0.08766246894015693
zaleplon_mpo,0.08898272972394104
