,pmo_v1,pmo_v2,pmo_v3,pmo_v4
albuterol_similarity,,,,
amlodipine_mpo,N/A,0.545,0.62,0.648
celecoxib_rediscovery,N/A,0.753,1.0,0.895
deco_hop,N/A,0.846,0.913,0.911
drd2,N/A,0.297,0.628,0.831
fexofenadine_mpo,0.882,0.617,0.719,0.97
gsk3b,N/A,0.089,0.161,0.136
isomers_c7h8n2o2,,,,
isomers_c9h10n2o2pf2cl,N/A,0.887,,0.747
jnk3,N/A,0.111,0.084,N/A
median1,,0.314,0.352,0.3
median2,N/A,0.412,0.352,0.413
mestranol_similarity,N/A,1.0,N/A,0.946
osimertinib_mpo,N/A,0.644,0.565,0.739
perindopril_mpo,N/A,0.784,0.755,0.602
qed,N/A,0.898,0.942,0.943
ranolazine_mpo,0.073,N/A,0.105,0.247
scaffold_hop,N/A,0.537,0.457,0.42
sitagliptin_mpo,N/A,0.092,0.002,0.003
thiothixene_rediscovery,N/A,0.788,0.788,0.811
troglitazon_rediscovery,N/A,1.0,0.621,0.677
valsartan_smarts,0.36,0.0,0.016,0.007
zaleplon_mpo,0.692,0.692,0.622,0.692
